"","Date","Open.","High","Low","Close","Volume","Market.Cap","coin","Open","Close","Delta"
"1090",2015-08-21,"235.35",236.43,231.72,"232.57","23,173,800","3,417,200,128","BTC",235.35,232.57,-0.0118121946037816
"1091",2015-08-20,"226.9",237.37,226.9,"235.35","32,275,000","3,293,570,048","BTC",226.9,235.35,0.0372410753635962
"1092",2015-08-19,"225.67",237.41,222.77,"226.68","60,869,200","3,274,860,032","BTC",225.67,226.68,0.00447556166083227
"1093",2015-08-18,"257.93",257.99,211.08,"211.08","42,147,200","3,742,020,096","BTC",257.93,211.08,-0.181638429031132
"1094",2015-08-17,"258.49",260.51,257.12,"257.98","21,617,900","3,749,260,032","BTC",258.49,257.98,-0.00197299702116133
"1095",2015-08-16,"261.87",262.44,257.04,"258.51","29,717,000","3,797,329,920","BTC",261.87,258.51,-0.0128307939053729
"1096",2015-08-15,"265.53",266.67,261.3,"261.55","19,321,100","3,849,530,112","BTC",265.53,261.55,-0.0149888901442397
"1097",2015-08-14,"264.13",267.47,261.48,"265.68","27,091,200","3,828,339,968","BTC",264.13,265.68,0.00586832241699168
"1098",2015-08-13,"266.18",266.23,262.84,"264.08","27,685,500","3,857,090,048","BTC",266.18,264.08,-0.0078893981516268
"1099",2015-08-12,"270.6",270.67,265.47,"266.38","26,815,400","3,920,209,920","BTC",270.6,266.38,-0.0155949741315596
"1100",2015-08-11,"264.34",270.39,264.09,"270.39","25,433,900","3,828,499,968","BTC",264.34,270.39,0.0228871907391996
"1101",2015-08-10,"265.48",267.03,262.6,"264.47","20,979,400","3,843,849,984","BTC",265.48,264.47,-0.00380442971221934
"1102",2015-08-09,"261.12",267,260.47,"265.08","23,789,600","3,779,770,112","BTC",261.12,265.08,0.0151654411764705
"1103",2015-08-08,"279.74",279.93,260.71,"261","58,533,000","4,048,270,080","BTC",279.74,261,-0.0669907771502109
"1104",2015-08-07,"278.74",280.39,276.37,"279.58","42,484,800","4,032,819,968","BTC",278.74,279.58,0.00301356102461066
"1105",2015-08-06,"281.91",281.91,278.4,"278.58","18,792,100","4,077,600,000","BTC",281.91,278.58,-0.0118122805150581
"1106",2015-08-05,"284.85",285.5,281.49,"281.88","20,128,000","4,119,190,016","BTC",284.85,281.88,-0.0104265402843603
"1107",2015-08-04,"281.23",285.71,281.23,"285.22","21,908,700","4,065,870,080","BTC",281.23,285.22,0.0141876755680404
"1108",2015-08-03,"282.81",285.47,280.23,"281.23","21,474,100","4,087,610,112","BTC",282.81,281.23,-0.00558678971747811
